Date,Open,High,Low,Close,Adj Close,Volume
07-04-2020,1221,1229.050049,1171,1198.050049,1198.050049,8552570
08-04-2020,1184.800049,1242.550049,1160.349976,1187.650024,1187.650024,7405087
09-04-2020,1215,1281.199951,1190.099976,1272.900024,1272.900024,8097402
13-04-2020,1250,1257.150024,1216,1250.900024,1250.900024,4250536
15-04-2020,1265.849976,1270.949951,1153.300049,1173.75,1173.75,9045676
16-04-2020,1164.949951,1164.949951,1114.449951,1130.849976,1130.849976,11055205
17-04-2020,1187.349976,1197.949951,1135,1186.25,1186.25,8585395
20-04-2020,1220,1224.5,1172.25,1177.75,1177.75,6560180
21-04-2020,1150,1155,1125,1130.150024,1130.150024,4799796
22-04-2020,1127.050049,1166.75,1108.199951,1152.150024,1152.150024,6963692
23-04-2020,1172,1255,1158.099976,1249.650024,1249.650024,10558247
24-04-2020,1219,1258,1213.349976,1239.550049,1239.550049,6784235
27-04-2020,1251.900024,1324.900024,1251.900024,1303.599976,1303.599976,7771412
28-04-2020,1310.099976,1336.5,1310.099976,1326.650024,1326.650024,6678388
29-04-2020,1327,1352,1315.199951,1327.849976,1327.849976,6703229
30-04-2020,1340,1380,1334.050049,1357.199951,1357.199951,6272522
04-05-2020,1295,1305.900024,1263.699951,1277.800049,1277.800049,5096439
05-05-2020,1297,1302.900024,1225,1238.349976,1238.349976,5004841
06-05-2020,1231,1277.400024,1214.25,1245.949951,1245.949951,4604274
07-05-2020,1230.5,1240,1184.25,1199.800049,1199.800049,6843272
08-05-2020,1222,1242.949951,1211.050049,1217.449951,1217.449951,3511204
11-05-2020,1240.550049,1252.300049,1185,1188.449951,1188.449951,4674081
12-05-2020,1178,1178,1137,1157.199951,1157.199951,10268550
13-05-2020,1215.050049,1220,1172.699951,1186.699951,1186.699951,11914924
14-05-2020,1178.900024,1214,1167.150024,1173.099976,1173.099976,7099970
15-05-2020,1179.849976,1189.900024,1154.199951,1178.300049,1178.300049,3863980
18-05-2020,1175,1176,1110,1113.650024,1113.650024,6397416
19-05-2020,1150,1169.900024,1125.300049,1130.449951,1130.449951,6382921
20-05-2020,1130,1178,1115,1160.099976,1160.099976,5254388
21-05-2020,1165,1189.550049,1144.599976,1150.25,1150.25,5977128
22-05-2020,1140,1167.199951,1116.5,1160.199951,1160.199951,5189748
26-05-2020,1160,1175,1144.550049,1153.199951,1153.199951,5470797
27-05-2020,1163.949951,1243,1161,1217.550049,1217.550049,11745366
28-05-2020,1224,1254.900024,1209.599976,1229.449951,1229.449951,10710003
29-05-2020,1216.5,1229.800049,1200.050049,1224,1224,5497352
01-06-2020,1249,1279.199951,1238,1248.400024,1248.400024,6943576
02-06-2020,1323,1353.25,1298.050049,1342.900024,1342.900024,17320030
03-06-2020,1364,1428.199951,1342.199951,1386.550049,1386.550049,12344415
04-06-2020,1380.050049,1380.050049,1330.349976,1334.400024,1334.400024,6004144
05-06-2020,1344,1358,1321,1337.800049,1337.800049,5688117
08-06-2020,1355,1365,1315.5,1336.75,1336.75,5302297
09-06-2020,1341.949951,1360,1299.099976,1304.150024,1304.150024,5477333
10-06-2020,1304.5,1344.300049,1303.599976,1332.25,1332.25,4876360
11-06-2020,1334,1334.400024,1289.199951,1298.699951,1298.699951,4376813
12-06-2020,1240,1289.699951,1231.599976,1279.800049,1279.800049,8992424
15-06-2020,1270,1271.150024,1237.199951,1248.900024,1248.900024,7553579
16-06-2020,1276,1295.800049,1238.099976,1276.800049,1276.800049,5266292
17-06-2020,1269.449951,1284.949951,1236.599976,1243.800049,1243.800049,5429264
18-06-2020,1240,1309.900024,1228.349976,1303.349976,1303.349976,6672522
19-06-2020,1304,1315.75,1276.349976,1302.5,1302.5,8492615
22-06-2020,1309.800049,1385,1295.949951,1355.349976,1355.349976,7633867
23-06-2020,1355,1395.699951,1350.050049,1389.900024,1389.900024,4669825
24-06-2020,1392,1398,1336.949951,1343.900024,1343.900024,5332617
25-06-2020,1337,1389.75,1325,1381.699951,1381.699951,9985038
26-06-2020,1380,1382.949951,1326.949951,1340.099976,1340.099976,6694196
29-06-2020,1336.099976,1366.900024,1313,1355.650024,1355.650024,3819681
30-06-2020,1364.900024,1372.900024,1345.050049,1360.449951,1360.449951,4777664
01-07-2020,1319,1364.800049,1316,1356.75,1356.75,8939585
02-07-2020,1358.150024,1371.900024,1342.300049,1352,1352,4992982
03-07-2020,1359.900024,1368.699951,1350.050049,1353.800049,1353.800049,2768103
06-07-2020,1370,1381.25,1361,1367.900024,1367.900024,3248073
07-07-2020,1370,1374.400024,1351.5,1368.25,1368.25,3574288
08-07-2020,1368,1378.849976,1348,1352.75,1352.75,3383105
09-07-2020,1355.75,1374.599976,1347.75,1368.150024,1368.150024,3445915
